127.0.0.1, 2013-11-23 19:53:11, GET, /admin/default/test/twm, HTTP/1.1, 200, 0.104000
127.0.0.1, 2013-11-23 19:53:11, POST, /twm/appadmin/_TEST, HTTP/1.1, 200, 0.126000
127.0.0.1, 2013-11-23 19:53:11, POST, /twm/default/_TEST, HTTP/1.1, 200, 0.098000
127.0.0.1, 2013-11-23 19:53:16, GET, /admin/default/design/twm, HTTP/1.1, 200, 0.180000
127.0.0.1, 2013-11-23 19:53:18, GET, /admin/default/edit/twm/cron/crontab, HTTP/1.1, 200, 0.213000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.192000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.158000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.029000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2013-11-23 19:53:19, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.037000
127.0.0.1, 2013-11-23 19:53:21, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-11-23 19:53:21, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-11-23 19:53:21, GET, /admin/default/edit/twm/cron/crontab, HTTP/1.1, 200, 0.460000
127.0.0.1, 2013-11-23 19:53:24, GET, /admin/default/edit/twm/models/menu.py, HTTP/1.1, 200, 0.161000
127.0.0.1, 2013-11-23 19:53:25, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2013-11-23 19:53:25, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.053000
127.0.0.1, 2013-11-23 19:53:25, GET, /admin/default/edit/twm/controllers/appadmin.py, HTTP/1.1, 200, 0.072000
127.0.0.1, 2013-11-23 19:53:26, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.025000
127.0.0.1, 2013-11-23 19:53:32, GET, /admin/default/edit/twm/models/menu.py, HTTP/1.1, 200, 0.065000
127.0.0.1, 2013-11-23 19:53:34, GET, /admin/default/edit/twm/controllers/default.py, HTTP/1.1, 200, 0.091000
127.0.0.1, 2013-11-23 19:53:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.024000
127.0.0.1, 2013-11-23 19:53:40, GET, /admin/mercurial/commit/twm, HTTP/1.1, 303, 0.048000
127.0.0.1, 2013-11-23 19:53:40, GET, /admin/default/design/twm, HTTP/1.1, 200, 0.242000
127.0.0.1, 2013-11-23 19:53:59, GET, /twm/appadmin/index, HTTP/1.1, 200, 1.050000
127.0.0.1, 2013-11-23 19:54:00, GET, /twm/static/js/share.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2013-11-23 19:54:02, GET, /admin/default/design/twm, HTTP/1.1, 200, 0.174000
